,d1,d2,d3,d4,d5,ruangan
372,-56.0,-55.0,-38.0,-69.0,-53.0,303
373,-56.0,-51.0,-45.0,-67.0,-64.0,303
374,-50.0,-55.0,-42.0,-63.0,-59.0,303
375,-50.0,-48.0,-39.0,-66.0,-57.0,303
376,-52.0,-49.0,-41.0,-59.0,-64.0,303
377,-55.0,-57.0,-29.0,-57.0,-59.0,303
378,-60.0,-56.0,-38.0,-56.0,-56.0,303
379,-58.0,-57.0,-35.0,-49.0,-57.0,303
380,-58.0,-54.0,-44.0,-62.0,-58.0,303
381,-56.0,-53.0,-35.0,-62.0,-58.0,303
382,-50.0,-53.0,-34.0,-58.0,-55.0,303
383,-56.0,-50.0,-36.0,-61.0,-55.0,303
384,-50.0,-51.0,-36.0,-69.0,-50.0,303
385,-59.0,-51.0,-34.0,-70.0,-56.0,303
386,-55.0,-48.0,-34.0,-67.0,-55.0,303
387,-50.0,-48.0,-46.0,-61.0,-56.0,303
388,-48.0,-50.0,-43.0,-69.0,-55.0,303
389,-48.0,-50.0,-44.0,-65.0,-55.0,303
390,-45.0,-52.0,-38.0,-63.0,-54.0,303
391,-54.0,-52.0,-35.0,-56.0,-49.0,303
392,-55.0,-59.0,-35.0,-62.0,-54.0,303
393,-55.0,-63.0,-36.0,-58.0,-55.0,303
394,-54.0,-59.0,-35.0,-61.0,-52.0,303
395,-56.0,-58.0,-34.0,-61.0,-49.0,303
396,-59.0,-66.0,-34.0,-56.0,-57.0,303
397,-56.0,-56.0,-36.0,-60.0,-48.0,303
398,-60.0,-62.0,-46.0,-60.0,-52.0,303
399,-63.0,-63.0,-37.0,-67.0,-53.0,303
400,-55.0,-60.0,-45.0,-58.0,-51.0,303
401,-57.0,-61.0,-42.0,-60.0,-54.0,303
402,-51.0,-57.0,-39.0,-54.0,-58.0,303
403,-54.0,-53.0,-41.0,-61.0,-57.0,303
404,-60.0,-55.0,-43.0,-65.0,-52.0,303
405,-45.0,-51.0,-41.0,-66.0,-58.0,303
406,-52.0,-55.0,-36.0,-60.0,-57.0,303
407,-52.0,-55.0,-37.0,-58.0,-54.0,303
408,-52.0,-56.0,-33.0,-60.0,-60.0,303
409,-56.0,-64.0,-45.0,-57.0,-52.0,303
410,-56.0,-59.0,-42.0,-59.0,-55.0,303
411,-55.0,-63.0,-33.0,-61.0,-55.0,303
412,-56.0,-62.0,-38.0,-59.0,-51.0,303
413,-53.0,-60.0,-36.0,-58.0,-52.0,303
414,-52.0,-57.0,-35.0,-65.0,-52.0,303
415,-57.0,-62.0,-41.0,-62.0,-49.0,303
416,-59.0,-61.0,-42.0,-65.0,-49.0,303
417,-54.0,-61.0,-42.0,-64.0,-51.0,303
418,-59.0,-62.0,-42.0,-61.0,-54.0,303
419,-53.0,-60.0,-43.0,-56.0,-51.0,303
420,-51.0,-55.0,-43.0,-54.0,-50.0,303
421,-51.0,-55.0,-43.0,-58.0,-53.0,303
422,-56.0,-57.0,-41.0,-60.0,-53.0,303
423,-53.0,-53.0,-38.0,-58.0,-53.0,303
424,-56.0,-63.0,-37.0,-61.0,-54.0,303
425,-53.0,-60.0,-37.0,-61.0,-50.0,303
426,-53.0,-61.0,-38.0,-59.0,-56.0,303
427,-55.0,-59.0,-40.0,-59.0,-55.0,303
428,-56.0,-59.0,-37.0,-61.0,-55.0,303
429,-50.0,-61.0,-38.0,-62.0,-51.0,303
430,-56.0,-58.0,-39.0,-58.0,-53.0,303
431,-55.0,-60.0,-35.0,-59.0,-54.0,303
432,-52.0,-61.0,-37.0,-60.0,-52.0,303
433,-51.0,-62.0,-40.0,-67.0,-56.0,303
434,-57.0,-60.0,-37.0,-66.0,-54.0,303
435,-55.0,-58.0,-35.0,-69.0,-52.0,303
436,-64.0,-61.0,-36.0,-64.0,-48.0,303
437,-56.0,-62.0,-37.0,-68.0,-53.0,303
438,-50.0,-60.0,-47.0,-61.0,-49.0,303
439,-59.0,-62.0,-41.0,-60.0,-55.0,303
440,-48.0,-61.0,-45.0,-57.0,-58.0,303
441,-59.0,-62.0,-46.0,-55.0,-56.0,303
442,-58.0,-60.0,-45.0,-60.0,-48.0,303
443,-58.0,-59.0,-36.0,-67.0,-52.0,303
444,-54.0,-62.0,-37.0,-61.0,-53.0,303
445,-53.0,-55.0,-35.0,-62.0,-53.0,303
446,-55.0,-63.0,-36.0,-63.0,-51.0,303
447,-51.0,-61.0,-39.0,-63.0,-53.0,303
448,-59.0,-59.0,-35.0,-61.0,-53.0,303
449,-58.0,-60.0,-36.0,-62.0,-56.0,303
450,-56.0,-53.0,-38.0,-60.0,-56.0,303
451,-57.0,-56.0,-38.0,-58.0,-56.0,303
452,-50.0,-53.0,-39.0,-58.0,-56.0,303
453,-56.0,-54.0,-38.0,-67.0,-52.0,303
454,-59.0,-57.0,-34.0,-68.0,-56.0,303
455,-58.0,-53.0,-38.0,-65.0,-55.0,303
456,-57.0,-54.0,-36.0,-65.0,-55.0,303
457,-58.0,-56.0,-47.0,-67.0,-48.0,303
458,-55.0,-54.0,-44.0,-57.0,-54.0,303
459,-52.0,-55.0,-41.0,-58.0,-46.0,303
460,-59.0,-54.0,-37.0,-56.0,-59.0,303
461,-54.0,-58.0,-38.0,-58.0,-51.0,303
462,-54.0,-56.0,-40.0,-56.0,-56.0,303
463,-53.0,-60.0,-30.0,-53.0,-44.0,303
464,-54.0,-63.0,-30.0,-50.0,-45.0,303
465,-50.0,-60.0,-31.0,-52.0,-48.0,303
466,-52.0,-60.0,-33.0,-55.0,-42.0,303
467,-55.0,-62.0,-39.0,-56.0,-46.0,303
468,-52.0,-69.0,-33.0,-58.0,-48.0,303
469,-59.0,-62.0,-32.0,-64.0,-49.0,303
